T,BTC-XVG,BTC-ETH,BTC-XRP,BTC-SC,BTC-DOGE,BTC-ADA,BTC-STRAT,BTC-BCC,BTC-DGB,BTC-XLM,BTC-NEO,BTC-FUN,BTC-ETC,BTC-QTUM,BTC-MYST,BTC-LTC,BTC-OMG,BTC-RDD,BTC-SALT,BTC-UKG,BTC-XDN,BTC-ZCL,BTC-XMR,BTC-BAT,BTC-MANA,BTC-XEM,BTC-LSK,BTC-REP,BTC-POWR,BTC-NXT,BTC-VOX,BTC-SNT,BTC-PAY,BTC-BTG,BTC-WAVES,BTC-ZEC,BTC-BAY,BTC-ARK,BTC-RCN,BTC-ENG,BTC-PTOY,BTC-NBT,BTC-1ST,BTC-STEEM,BTC-EBST,BTC-PIVX,BTC-GNT,BTC-EDG,BTC-GAME,BTC-BURST,BTC-MONA,BTC-DASH,BTC-ADX,BTC-VTC,BTC-MCO,BTC-STORJ,BTC-SYS,BTC-EMC2,BTC-BRK,BTC-DCT,BTC-NXS,BTC-GUP,BTC-DNT,BTC-MUSIC,BTC-CFI,BTC-MTL,BTC-CVC,BTC-SYNX,BTC-HMQ,BTC-VIA,BTC-RISE,BTC-OK,BTC-KMD,BTC-TRIG,BTC-PKB,BTC-XCP,BTC-XZC,BTC-SPHR,BTC-THC,BTC-SLR,BTC-ADT,BTC-AMP,BTC-FCT,BTC-NMR,BTC-LBC,BTC-GNO,BTC-DCR,BTC-UNB,BTC-GRS,BTC-GEO,BTC-LMC,BTC-SBD,BTC-BITB,BTC-SPR,BTC-XMY,BTC-BYC,BTC-XEL,BTC-NEOS,BTC-WINGS,BTC-QWARK,BTC-BNT,BTC-ANT,BTC-ZEN,BTC-UBQ,BTC-NAV,BTC-AEON,BTC-VIB,BTC-PINK,BTC-LUN,BTC-MEME,BTC-CANN,BTC-CLAM,BTC-POT,BTC-BSD,BTC-NXC,BTC-QRL,BTC-MER,BTC-DGD,BTC-TIX,BTC-DYN,BTC-IOP,BTC-CRW,BTC-SHIFT,BTC-TRST,BTC-AGRS,BTC-DTB,BTC-SIB,BTC-START,BTC-MUE,BTC-GCR,BTC-MAID,BTC-RADS,BTC-CLUB,BTC-EXP,BTC-SLS,BTC-FTC,BTC-RLC,BTC-FLDC,BTC-OMNI,BTC-BLK,BTC-CLOAK,BTC-EMC,BTC-TX,BTC-VRC,BTC-PPC,BTC-ABY,BTC-DOPE,BTC-GBYTE,BTC-XMG,BTC-IOC,BTC-BLITZ,BTC-COVAL,BTC-EGC,BTC-CPC,BTC-PART,BTC-CRB,BTC-TKS,BTC-EXCL,BTC-SWT,BTC-KORE,USDT-BTC
2017-11-11 10:00:00,1e-06,0.0459,3.146e-05,6.6e-07,1.9e-07,4.36e-06,0.00049337,0.151805,1.4e-06,5.31e-06,0.00442898,2.29e-06,0.00255102,0.00174061,9.19e-05,0.00917695,0.00112112,1.5e-07,0.00061679,,3.3e-07,0.00027373,0.01654,2.205e-05,1.88e-06,3.005e-05,0.00093801,0.00275143,,9.76e-06,6.24e-06,4.5e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-11 11:00:00,9.7e-07,0.04629661,3.173e-05,6.5e-07,1.9e-07,4.25e-06,0.00048808,0.17265398,1.39e-06,5.26e-06,0.004387,2.29e-06,0.00253988,0.00173125,9.16e-05,0.00917535,0.0011189,1.6e-07,0.00061495,,3.3e-07,0.00026886,0.0162955,2.185e-05,1.91e-06,2.951e-05,0.00090797,0.00280472,,9.77e-06,6.15e-06,4.56e-06,0.0002705,,0.00066999,0.03733968,3.96e-06,0.00045472,1.981e-05,,2.577e-05,0.00015235,5.014e-05,0.00014,1.593e-05,0.000515,3.069e-05,9.999e-05,0.0002719,9.3e-07,0.00040037,0.0512054,0.00014344,0.000655,0.00090562,7.304e-05,3.442e-05,1.083e-05,2.195e-05,6.226e-05,0.00015213,2.61e-05,6.38e-06,2.07e-06,1.329e-05,0.00072703,4.255e-05,3.735e-05,1.38e-05,0.00022809,3.935e-05,4.895e-05,0.00034058,8.55e-05,0.00014247,0.00230002,0.0023667,0.00044289,2.27e-06,5.316e-05,3.01e-06,2.344e-05,0.00277506,0.0016011,3.14e-05,0.010457,0.0045785,4.356e-05,8.561e-05,0.00015021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-11 12:00:00,9.7e-07,0.04699789,3.235e-05,6.5e-07,1.9e-07,4.22e-06,0.00048197,0.19048993,1.38e-06,5.19e-06,0.00435845,2.27e-06,0.00269715,0.00175699,9.191e-05,0.0093155,0.00110985,1.5e-07,0.00061252,,3.3e-07,0.00026887,0.0167195,2.17e-05,1.94e-06,2.98e-05,0.0008944,0.00279301,,9.66e-06,6.1e-06,4.56e-06,0.00027108,,0.000645,0.038,3.95e-06,0.000448,1.968e-05,,2.555e-05,0.00015488,4.901e-05,0.00013665,1.563e-05,0.00050482,3.025e-05,0.00010162,0.00027513,9.1e-07,0.00039995,0.051,0.00014129,0.0006475,0.00091,7.3e-05,3.39e-05,1.078e-05,2.192e-05,6.2e-05,0.0001535,2.625e-05,6.32e-06,2.08e-06,1.3e-05,0.00072198,4.29e-05,3.61e-05,1.407e-05,0.00022729,3.849e-05,4.939e-05,0.000334,8.21e-05,0.00013349,0.00218054,0.00239868,0.000441,2.25e-06,5.307e-05,3.09e-06,2.423e-05,0.00275206,0.00160107,3.123e-05,0.01045539,0.00459163,4.355e-05,8.524e-05,0.00014785,6.47e-06,0.00014675,3.8e-07,4.341e-05,4e-07,8.85e-05,4.299e-05,0.00035164,5.75e-05,2.112e-05,0.00028778,0.00019949,0.00342,0.00018548,0.00012017,0.0002367,2.603e-05,3e-06,0.00087878,2.805e-05,3.8e-06,0.00069616,2.011e-05,0.00010128,2.72e-05,9.198e-05,,0.00906958,2.564e-05,0.00048603,0.00035299,0.00020432,0.00016534,3.927e-05,5.17e-05,6.45e-05,0.00020908,6.67e-06,1.562e-05,6.56e-06,6.394e-05,0.00053158,0.000246,0.0002873,0.00202,1.549e-05,8.595e-05,1.46e-06,0.00332943,3.284e-05,0.00080087,0.00010095,0.0002661,7.258e-05,0.00022361,8.5e-07,3.3e-06,,,,,,,,,,,,,,
2017-11-11 13:00:00,9.6e-07,0.04651291,3.183e-05,6.3e-07,1.8e-07,4.22e-06,0.00048308,0.1957,1.34e-06,5.09e-06,0.00435901,2.29e-06,0.00273898,0.001739,9e-05,0.00939754,0.001096,1.5e-07,0.00057468,,3.4e-07,0.00027614,0.0165,2.15e-05,1.86e-06,2.9e-05,0.00088723,0.00278284,,9.68e-06,5.93e-06,4.51e-06,0.00026895,,0.0006334,0.03694324,3.94e-06,0.00044508,1.907e-05,,2.525e-05,0.00015842,4.86e-05,0.00013822,1.544e-05,0.00048927,3.013e-05,9.6e-05,0.00026509,9e-07,0.0003806,0.0504,0.00014071,0.0006395,0.00088999,7.237e-05,3.39e-05,1.052e-05,2.103e-05,6.06e-05,0.0001516,2.59e-05,5.9e-06,2e-06,1.339e-05,0.0007,4.27e-05,3.584e-05,1.395e-05,0.00022511,3.776e-05,4.908e-05,0.00032801,8.221e-05,0.0001238,0.002136,0.00224991,0.00043978,2.25e-06,5.226e-05,3.07e-06,2.35e-05,0.00268369,0.00157249,3.013e-05,0.01019008,0.00449001,4.203e-05,8.443e-05,0.00014806,6.34e-06,0.00014901,3.8e-07,4.388e-05,4e-07,8.517e-05,4.22e-05,0.00035202,5.7e-05,2.063e-05,0.00028725,0.00019,0.00346949,0.00018002,0.00011803,0.00024251,2.58e-05,2.94e-06,0.00086709,2.763e-05,3.8e-06,0.00069446,2.008e-05,9.85e-05,2.64e-05,9.002e-05,,0.00920721,2.603e-05,0.0004915,0.00034374,0.00020388,0.00015802,3.811e-05,5.17e-05,6.447e-05,0.00020023,6.65e-06,1.603e-05,6.44e-06,6.223e-05,0.00053199,0.00024797,0.00027512,0.002008,1.498e-05,8.475e-05,1.46e-06,0.00330332,3.24e-05,0.00078752,9.939e-05,0.00026002,7.005e-05,0.00022361,8.4e-07,3.2e-06,0.0259,3.628e-05,0.00035965,0.00013304,7.1e-07,3.288e-05,5.15e-05,0.0012159,4.897e-05,0.00022762,0.00018077,0.00016717,0.00053339,6400.0
2017-11-11 14:00:00,9.7e-07,0.047115,3.216e-05,6.3e-07,1.8e-07,4.23e-06,0.00049,0.2,1.36e-06,5.12e-06,0.00440412,2.32e-06,0.00275067,0.00176001,9.2e-05,0.00937301,0.00110692,1.5e-07,0.00061677,,3.2e-07,0.0002741,0.01756486,2.166e-05,1.88e-06,2.949e-05,0.00090772,0.00283474,,9.6e-06,5.97e-06,4.46e-06,0.000267,,0.00064509,0.03710753,3.94e-06,0.00044097,1.996e-05,,2.528e-05,0.00015552,4.9e-05,0.00013939,1.542e-05,0.00049951,3.041e-05,0.00010002,0.00026926,8.9e-07,0.00039379,0.05047477,0.0001425,0.00064542,0.00091078,7.3e-05,3.478e-05,1.048e-05,2.141e-05,6e-05,0.0001603,2.626e-05,6.07e-06,2.04e-06,1.345e-05,0.00071193,4.226e-05,3.583e-05,1.396e-05,0.0002156,3.819e-05,4.915e-05,0.00032801,8.391e-05,0.000115,0.00210446,0.00235182,0.00043134,2.24e-06,5.252e-05,3.16e-06,2.364e-05,0.00273415,0.00173,3.161e-05,0.01008934,0.00453,4.267e-05,8.629e-05,0.00014989,6.39e-06,0.00015056,3.9e-07,4.389e-05,4e-07,8.506e-05,4.29e-05,0.00034869,5.669e-05,2.067e-05,0.00028692,0.00019446,0.00341472,0.00017575,0.00011882,0.00023401,2.545e-05,2.93e-06,0.00082,2.767e-05,3.8e-06,0.00068896,1.93e-05,9.916e-05,2.625e-05,9.121e-05,,0.00939524,2.561e-05,0.00048603,0.00034031,0.00020098,0.00015956,3.97e-05,5.171e-05,6.444e-05,0.00020595,6.66e-06,1.543e-05,6.45e-06,6.113e-05,0.00053334,0.000246,0.00027007,0.00200117,1.545e-05,8.371e-05,1.44e-06,0.00333409,3.258e-05,0.00079024,9.84e-05,0.00026294,6.969e-05,0.00022361,8.3e-07,3.18e-06,0.02522871,3.63e-05,0.00036052,0.00013405,7e-07,3.343e-05,5.002e-05,0.0011917,4.702e-05,0.00023338,0.00017962,0.00016752,0.000525,6310.0
2017-11-11 15:00:00,9.7e-07,0.04788476,3.248e-05,6.3e-07,1.8e-07,4.17e-06,0.00048704,0.21339,1.37e-06,5.11e-06,0.00437126,2.36e-06,0.002958,0.00177131,9.445e-05,0.0096,0.0011,1.5e-07,0.00060639,,3.2e-07,0.00027733,0.01784389,2.164e-05,1.86e-06,2.927e-05,0.00089774,0.00283474,,9.7e-06,5.92e-06,4.51e-06,0.00026911,,0.00065002,0.0379975,3.94e-06,0.00043802,1.979e-05,,2.52e-05,0.00015501,4.898e-05,0.00014069,1.518e-05,0.0005066,3.067e-05,9.773e-05,0.00027484,8.8e-07,0.00039353,0.05280014,0.00014248,0.0006348,0.00091415,7.371e-05,3.398e-05,1.05e-05,2.28e-05,6.099e-05,0.00015451,2.68e-05,6.14e-06,2.02e-06,1.34e-05,0.000699,4.25e-05,3.597e-05,1.384e-05,0.00021556,3.855e-05,4.977e-05,0.00033076,8.248e-05,0.00011385,0.002224,0.00236585,0.00043989,2.22e-06,5.242e-05,3.09e-06,2.37e-05,0.00270499,0.00173911,3.169e-05,0.01008937,0.00455,4.255e-05,8.445e-05,0.00015162,6.42e-06,0.00014797,3.8e-07,4.491e-05,4e-07,8.505e-05,4.188e-05,0.00034886,5.68e-05,2.053e-05,0.000291,0.000189,0.00338,0.0001791,0.0001186,0.00024061,2.512e-05,2.93e-06,0.00081401,2.752e-05,3.78e-06,0.00068706,1.937e-05,9.914e-05,2.645e-05,9e-05,,0.0093936,2.61e-05,0.00048603,0.00033302,0.0002024,0.00015956,3.911e-05,5.242e-05,6.751e-05,0.00020037,6.67e-06,1.548e-05,6.5e-06,6.187e-05,0.00052574,0.00024888,0.00027201,0.00201858,1.508e-05,8.3e-05,1.44e-06,0.00353248,3.164e-05,0.000842,0.00010016,0.00025892,6.971e-05,0.00022272,8.4e-07,3.18e-06,0.02480253,3.599e-05,0.00036,0.00013597,7.3e-07,3.235e-05,5.075e-05,0.00117475,4.829e-05,0.00022758,0.00017733,0.0001672,0.0005315,6237.86165446
2017-11-11 16:00:00,9.8e-07,0.0477,3.259e-05,6.7e-07,1.8e-07,4.2e-06,0.00048348,0.195989,1.37e-06,5.22e-06,0.00441297,2.27e-06,0.0029249,0.00182,9.499e-05,0.00960479,0.00110749,1.5e-07,0.00059492,,3.3e-07,0.00027008,0.01927998,2.139e-05,1.86e-06,3.024e-05,0.00090372,0.00283436,,9.75e-06,5.87e-06,4.44e-06,0.00026814,,0.00064975,0.0389461,3.88e-06,0.00043985,1.965e-05,,2.472e-05,0.0001551,4.91e-05,0.00013901,1.482e-05,0.00052119,3.041e-05,9.646e-05,0.000277,8.8e-07,0.00040116,0.05361939,0.0001415,0.00065291,0.0009189,7.391e-05,3.4e-05,1.038e-05,2.156e-05,6.119e-05,0.000158,2.606e-05,6.22e-06,2.04e-06,1.369e-05,0.00070387,4.289e-05,3.461e-05,1.385e-05,0.00022096,3.894e-05,4.816e-05,0.00033056,8.45e-05,0.00012,0.002232,0.00235636,0.000439,2.23e-06,5.347e-05,3.15e-06,2.387e-05,0.00276991,0.001741,3.114e-05,0.01002164,0.00451401,4.225e-05,8.429e-05,0.0001527,6.31e-06,0.00015025,3.9e-07,4.447e-05,3.9e-07,8.502e-05,4.28e-05,0.000348,5.675e-05,2.061e-05,0.00028856,0.00019272,0.00342,0.0001794,0.00011993,0.00023787,2.525e-05,3e-06,0.000794,2.79e-05,3.76e-06,0.00069417,2.03e-05,9.965e-05,2.655e-05,8.912e-05,,0.00938999,2.486e-05,0.00048001,0.00034323,0.00020244,0.00015561,3.807e-05,5.256e-05,6.589e-05,0.00020247,6.66e-06,1.541e-05,6.48e-06,6.226e-05,0.00051742,0.000251,0.00027029,0.0020069,1.494e-05,8.35e-05,1.44e-06,0.0037599,3.339e-05,0.00085936,0.00010225,0.00025552,6.822e-05,0.00022246,8.4e-07,3.14e-06,0.02442427,3.535e-05,0.00038695,0.00013392,7.3e-07,3.318e-05,5.05e-05,0.00114946,4.739e-05,0.00023503,0.00018004,0.00016949,0.00055216,6354.0
2017-11-11 17:00:00,9.8e-07,0.04932003,3.354e-05,6.7e-07,1.9e-07,4.26e-06,0.00049424,0.201105,1.41e-06,5.17e-06,0.00454763,2.29e-06,0.00294,0.00184675,9.36e-05,0.00994,0.0011292,1.6e-07,0.00060499,,3.3e-07,0.00026616,0.01896531,2.117e-05,1.82e-06,3e-05,0.0009124,0.00284789,,1.014e-05,6.01e-06,4.54e-06,0.00027101,,0.0006492,0.04170609,3.93e-06,0.0004474,1.952e-05,,2.492e-05,0.00015739,4.831e-05,0.00014069,1.498e-05,0.0005273,3.089e-05,9.798e-05,0.00027864,9.2e-07,0.00040255,0.0544,0.00014626,0.00066452,0.000929,7.499e-05,3.409e-05,1.073e-05,2.195e-05,6.3e-05,0.00015472,2.69e-05,6.25e-06,2.07e-06,1.346e-05,0.00069992,4.286e-05,3.52e-05,1.422e-05,0.00022498,3.86e-05,4.988e-05,0.00033267,8.45e-05,0.00011095,0.00222568,0.00234372,0.00043863,2.23e-06,5.342e-05,3.38e-06,2.353e-05,0.00283096,0.00174054,3.19e-05,0.0102661,0.00463825,4.206e-05,8.48e-05,0.0001516,6.32e-06,0.00014892,3.9e-07,4.341e-05,4e-07,8.584e-05,4.23e-05,0.000357,5.598e-05,2.074e-05,0.0003,0.00019485,0.00335,0.00018291,0.00012096,0.00024107,2.524e-05,3.07e-06,0.000777,2.93e-05,3.77e-06,0.0006818,1.99e-05,9.847e-05,2.63e-05,9.2e-05,,0.00943928,2.43e-05,0.00048558,0.0003402,0.00020198,0.00015792,3.808e-05,5.392e-05,6.5e-05,0.00020252,6.56e-06,1.534e-05,6.4e-06,6.326e-05,0.00051788,0.00025152,0.00027035,0.00197752,1.484e-05,8.454e-05,1.43e-06,0.00401295,3.276e-05,0.00084134,0.00010102,0.0002553,6.905e-05,0.00022,8.6e-07,3.18e-06,0.02506492,3.5e-05,0.00038709,0.00013461,7.3e-07,3.243e-05,4.968e-05,0.00115865,4.735e-05,0.00023752,0.00017981,0.00017,0.000545,6271.76787014
2017-11-11 18:00:00,9.8e-07,0.0507,3.394e-05,6.8e-07,1.8e-07,4.32e-06,0.0004999,0.22301464,1.4e-06,5.26e-06,0.00458,2.3e-06,0.00288431,0.00188297,9.494e-05,0.01004094,0.00115894,1.6e-07,0.00061695,,3.3e-07,0.0002825,0.01873,2.098e-05,1.83e-06,3.049e-05,0.000895,0.00284236,,1.079e-05,6.14e-06,4.52e-06,0.000274,,0.000656,0.0409,3.9e-06,0.00045331,1.987e-05,,2.433e-05,0.00015802,4.85e-05,0.0001408,1.5e-05,0.00050002,3.167e-05,9.831e-05,0.00028035,9.4e-07,0.00039827,0.054549,0.00014799,0.000645,0.00094,7.48e-05,3.427e-05,1.063e-05,2.245e-05,6.127e-05,0.00016245,2.633e-05,6.41e-06,2.04e-06,1.37e-05,0.00070991,4.304e-05,3.52e-05,1.431e-05,0.00022499,4.003e-05,4.957e-05,0.00032938,8.699e-05,0.00011521,0.00218067,0.00227412,0.00043993,2.26e-06,5.456e-05,3.32e-06,2.385e-05,0.00289993,0.001685,3.312e-05,0.01066001,0.00465285,4.141e-05,8.402e-05,0.00014438,6.39e-06,0.000151,3.9e-07,4.44e-05,4.1e-07,8.584e-05,4.405e-05,0.00036029,5.749e-05,2.051e-05,0.00030264,0.00020243,0.00332338,0.0001835,0.00011996,0.00024191,2.48e-05,2.96e-06,0.00076074,2.83e-05,3.83e-06,0.00069598,2.057e-05,9.699e-05,2.63e-05,9.044e-05,,0.00965432,2.488e-05,0.00048173,0.00032587,0.00020104,0.00015792,3.791e-05,5.35e-05,6.48e-05,0.0002015,6.52e-06,1.535e-05,6.37e-06,6.311e-05,0.00052055,0.00024945,0.00027135,0.00195883,1.538e-05,8.345e-05,1.44e-06,0.0038,3.213e-05,0.00083256,0.00010034,0.00025465,6.863e-05,0.00022059,8.4e-07,3.19e-06,0.02511977,3.445e-05,0.00036726,0.00013251,7.3e-07,3.363e-05,5e-05,0.00117199,4.812e-05,0.00022903,0.00017999,0.00016884,0.00054284,6172.45000001
2017-11-11 19:00:00,9.7e-07,0.0503899,3.316e-05,6.7e-07,1.9e-07,4.35e-06,0.00049699,0.20901001,1.4e-06,5.22e-06,0.00453657,2.25e-06,0.00292,0.00182318,9.191e-05,0.00994322,0.00113957,1.6e-07,0.00062055,,3.4e-07,0.000289,0.01897691,2.132e-05,1.86e-06,3.04e-05,0.0009127,0.00284736,,1.097e-05,6.17e-06,4.48e-06,0.00027452,,0.0006532,0.04000035,3.87e-06,0.00045138,1.978e-05,,2.449e-05,0.00015558,5e-05,0.00014101,1.498e-05,0.00051242,3.191e-05,9.776e-05,0.00028116,9.3e-07,0.00039533,0.0538379,0.00014698,0.000647,0.0009223,7.465e-05,3.478e-05,1.065e-05,2.32e-05,6.156e-05,0.0001627,2.718e-05,6.44e-06,2.08e-06,1.363e-05,0.00069813,4.313e-05,3.51e-05,1.42e-05,0.00021902,4.09e-05,4.964e-05,0.0003293,8.752e-05,0.00011391,0.00223086,0.00234626,0.0004345,2.24e-06,5.414e-05,3.23e-06,2.368e-05,0.002841,0.00168499,3.158e-05,0.01066,0.00462649,4.141e-05,8.47e-05,0.00014717,6.67e-06,0.00015319,3.9e-07,4.475e-05,4.1e-07,8.305e-05,4.503e-05,0.00036349,6.002e-05,2.04e-05,0.0003068,0.00018843,0.00342863,0.00018414,0.00012076,0.000241,2.427e-05,2.98e-06,0.00076824,2.892e-05,3.8e-06,0.00069601,1.985e-05,9.834e-05,2.677e-05,9.01e-05,,0.0095,2.453e-05,0.00049137,0.00034,0.00020172,0.00015606,3.812e-05,5.303e-05,6.324e-05,0.00020006,6.59e-06,1.535e-05,6.37e-06,6.351e-05,0.00052269,0.00024899,0.00027076,0.00196884,1.48e-05,8.192e-05,1.48e-06,0.00386,3.372e-05,0.00082665,0.00010228,0.00025283,7.007e-05,0.00022524,8.5e-07,3.15e-06,0.02578096,3.497e-05,0.00037062,0.00013101,7.4e-07,3.265e-05,4.904e-05,0.00120956,4.782e-05,0.00023065,0.00017754,0.00016537,0.0005421,6310.00000003
